validFlag(0:false 1:true),hotelId,hotelName
0,13823,Shigenkan
1,147152,Chikurinan-Mizuno
0,40425,Hoshino-Resort-Aomoriya
0,40434,Hoshino-Resort-Oirase
0,135388,GinzanOnsenTakimikan
